candidate_id,project_name,exact_url,category,organization,official_status,license,stack,useful_idea,accepted_or_rejected,reason,receipt_id,valid_receipt_support,invalid_reason
C001,QuantDash,https://github.com/jakobildstad/quantdash,quant_backtesting,independent,unofficial,UNVERIFIED,FastAPI+React,quant UI and API split,accepted,relevant to prototype,R001,true,
C002,Open Paper Trading MCP,https://github.com/Open-Agent-Tools/open-paper-trading-mcp,quant_backtesting,Open-Agent-Tools,unofficial,UNVERIFIED,Python+FastAPI,paper simulation interface,accepted,relevant,R003,true,
C003,AgentQuant,https://github.com/OnePunchMonk/AgentQuant,quant_backtesting,independent,unofficial,UNVERIFIED,Python,agentic research orchestration,accepted,research-only,R004,true,
C004,Scrooge-McDuck,https://github.com/pdet/Scrooge-McDuck,quant_backtesting,independent,unofficial,UNVERIFIED,DuckDB+Python,local SQL analytics functions,accepted,relevant,R005,true,
C005,vegas,https://github.com/davidstyers/vegas,quant_backtesting,independent,unofficial,UNVERIFIED,Python,event-driven backtest pattern,accepted,relevant,R006,true,
C006,vectorbt,https://github.com/polakowo/vectorbt,quant_backtesting,independent,unofficial,MIT,Python+NumPy,vectorized strategy sweeps,accepted,relevant,R007,true,
C007,rustybt,https://github.com/jerryinyang/rustybt,quant_backtesting,independent,unofficial,UNVERIFIED,Python,event-driven alternative benchmark,accepted,relevant,R008,false,source weak under strict receipt criteria
C008,FINOS Legend Studio,https://github.com/finos/legend-studio,finos,FINOS,official,Apache-2.0,TypeScript+Java,data model governance,accepted,relevant,R009,true,
C009,FINOS Morphir,https://github.com/finos/morphir,finos,FINOS,official,Apache-2.0,Rust+Python+TS,business logic as model,accepted,relevant,R010,true,
C010,FINOS Waltz,https://github.com/finos/waltz,finos,FINOS,official,Apache-2.0,Java+Web,system dependency mapping,accepted,relevant,R011,true,
C011,FINOS FDC3,https://github.com/finos/FDC3,finos,FINOS,official,Apache-2.0,TypeScript,app interop standard,accepted,relevant,R012,true,
C012,FINOS Vuu,https://github.com/finos/vuu,finos,FINOS,official,Apache-2.0,Scala+TypeScript,realtime financial UI server,accepted,relevant,R013,true,
C013,FINOS CDM Playground,https://github.com/finos-labs/cdm-playground,finos,FINOS Labs,official,Apache-2.0,Java+Python,standardized financial domain objects,accepted,relevant,R014,true,
C014,FINOS AI Governance Framework,https://github.com/finos/ai-governance-framework,finos,FINOS,official,CC-BY-4.0,Python,AI governance controls,accepted,relevant,R015,true,
C015,FINOS Perspective,https://github.com/finos/perspective,finos,FINOS,official,Apache-2.0,C+++Rust+TS,streaming analytics UI,accepted,relevant,R016,true,
C016,GS Quant,https://github.com/goldmansachs/gs-quant,banks,Goldman Sachs,official,Apache-2.0,Python,institutional quant toolkit patterns,accepted,relevant,R017,true,
C017,JPMorgan Chase Org,https://github.com/jpmorganchase,banks,JPMorgan Chase,official,UNVERIFIED,multi,institutional OSS governance,accepted,relevant,R018,true,
C018,Citi OSPO,https://github.com/Citi/citi-ospo,banks,Citi,official,UNVERIFIED,docs/policy,open-source governance practices,accepted,relevant,R021,true,
C019,Capital One Org,https://github.com/capitalone,banks,Capital One,official,UNVERIFIED,multi,data and engineering OSS patterns,accepted,relevant,R023,true,
C020,RBC Org,https://github.com/RBC,banks,RBC,official,UNVERIFIED,multi,canadian bank open-source verification,accepted,relevant,R025,true,
C021,Deutsche Bank Org,https://github.com/deutschebank,banks,Deutsche Bank,official,UNVERIFIED,multi,institution verification and API patterns,accepted,relevant,R032,true,
C022,UBS-IB Org,https://github.com/UBS-IB,banks,UBS,official,UNVERIFIED,multi,partial institution evidence,accepted,limited scope,R033,false,partial institution evidence invalidated in strict pass
C023,HSBC Org,https://github.com/hsbc,banks,HSBC,official,UNVERIFIED,multi,institution verification,accepted,relevant,R034,true,
C024,NatWest Org,https://github.com/NatWest,banks,NatWest,official,UNVERIFIED,multi,institution verification small footprint,accepted,relevant,R035,false,organization-only evidence invalidated in strict pass
C025,Barclays research_data_science,https://github.com/Barclays/research_data_science,banks,Barclays,official,Apache-2.0,Python,data layer abstraction ideas,accepted,relevant,R036,true,
C026,BNP Paribas Org,https://github.com/bnpparibas,banks,BNP Paribas,official,UNVERIFIED,multi,limited official coverage,accepted,limited scope,R037,false,organization-level evidence invalidated in strict pass
C027,ING Bank Org,https://github.com/ing-bank,banks,ING,official,UNVERIFIED,multi,mature engineering references,accepted,relevant,R038,true,
C028,BBVA Org,https://github.com/bbva,banks,BBVA,official,UNVERIFIED,multi,broad OSS engineering examples,accepted,relevant,R039,true,
C029,Wells Fargo community task repo,https://github.com/vagabond-systems/wells-fargo-task-2,banks,community,unofficial,UNVERIFIED,Java,not official bank OSS,rejected,negative result,R022,true,
C030,budney/tdbank,https://github.com/budney/tdbank,banks,community,unofficial,BSD-2-Clause,Go,community wrapper not official bank OSS,rejected,negative result,R026,true,
C031,BYOBMO/BMOS,https://github.com/BYOBMO/BMOS,banks,community,unofficial,GPL-3.0,C++,homonym non-bank result,rejected,entity mismatch,R027,true,
C032,javaidb/personal-finance-tracker,https://github.com/javaidb/personal-finance-tracker,banks,community,unofficial,UNVERIFIED,Python,community app not official bank OSS,rejected,negative result,R028,true,
C033,CIBC-Internal/boost,https://github.com/CIBC-Internal/boost,banks,CIBC-Internal,ambiguous,Boost,C++,ambiguous institution mapping,rejected,insufficient confidence,R029,true,
C034,Bank of Canada Org,https://github.com/bankofcanada,banks,Bank of Canada,official,UNVERIFIED,multi,target mismatch for National Bank of Canada,rejected,negative result,R030,true,
C035,dray89/finance_python,https://github.com/dray89/finance_python,banks,community,unofficial,UNVERIFIED,Python,TMX limitation evidence,rejected,unofficial data source,R031,true,
C036,norio-nomura profile,https://github.com/norio-nomura,banks,individual,unofficial,UNVERIFIED,multi,not Nomura Bank official OSS,rejected,target mismatch,R040,true,
C037,AlanFromJapan/FundManagerCompanion,https://github.com/AlanFromJapan/FundManagerCompanion,banks,community,unofficial,UNVERIFIED,Python,not MUFG official OSS,rejected,target mismatch,R041,true,
C038,Cornell CQF Backtesting,https://github.com/CornellQuantFund/CQF_Backtesting,universities,Cornell Quant Fund,club,UNVERIFIED,Python,educational backtesting architecture,accepted,relevant,R042,true,
