receipt_id,category,exact_search_query,exact_source_url,page_or_repo_opened,verified_fact,extracted_idea,accepted_or_rejected,reason,architecture_layer_supported,confidence,valid_receipt,invalid_reason
R001,quant_backtesting,GitHub stock backtesting dashboard FastAPI React,https://github.com/jakobildstad/quantdash,quantdash repo,FastAPI+React quant dashboard exists,Reference UI and API separation,accepted,relevant to local research lab,dashboard_api,medium,true,
R002,quant_backtesting,GitHub quant dashboard FastAPI React,https://github.com/jakobildstad/quantdash,quantdash repo,Quant dashboard stack verified,Use for component decomposition,accepted,relevant,frontend_backend_split,medium,true,
R003,quant_backtesting,GitHub paper trading simulator FastAPI,https://github.com/Open-Agent-Tools/open-paper-trading-mcp,open-paper-trading-mcp repo,Paper trading MCP implementation exists,Paper execution abstraction,accepted,relevant,paper_basket_engine,high,true,
R004,quant_backtesting,GitHub AI trading research agent,https://github.com/OnePunchMonk/AgentQuant,AgentQuant repo,AI research agent project exists,Use only for research orchestration patterns,accepted,experimental only,agent_review_layer,medium,true,
R005,quant_backtesting,GitHub stock market analytics terminal DuckDB,https://github.com/pdet/Scrooge-McDuck,Scrooge-McDuck repo,DuckDB finance analytics extension exists,Adopt local analytical SQL patterns,accepted,relevant,data_feature_engine,high,true,
R006,quant_backtesting,GitHub backtesting engine Python event driven,https://github.com/davidstyers/vegas,vegas repo,Event-driven backtesting engine exists,Use event-driven simulator design,accepted,relevant,simulation_engine,medium,true,
R007,quant_backtesting,GitHub vectorbt dashboard,https://github.com/polakowo/vectorbt/blob/master/apps/candlestick-patterns/app.py,vectorbt app file,Vectorbt dashboard app present,Use vectorized batch testing for research,accepted,relevant,experiment_runner,high,true,
R008,quant_backtesting,GitHub zipline alternatives,https://github.com/jerryinyang/rustybt,rustybt repo,Zipline-style alternative exists,Alternative benchmark architecture,accepted,relevant,benchmarking_layer,low,false,weak indirect benchmark evidence with low-confidence mapping
R009,finos,site:github.com finos Legend data modeling,https://github.com/finos/legend-studio/,legend-studio repo,Legend Studio project exists,Data-model governance concepts,accepted,relevant,semantic_model_layer,high,true,
R010,finos,site:github.com finos Morphir business logic,https://github.com/finos/morphir/,morphir repo,Morphir project exists,Business-logic-as-data ideas,accepted,relevant,rule_logic_layer,high,true,
R011,finos,site:github.com finos Waltz enterprise architecture,https://github.com/finos/waltz/,waltz repo,Waltz architecture inventory project exists,Dependency/risk map pattern,accepted,relevant,architecture_map,high,true,
R012,finos,site:github.com finos FDC3 financial desktop,https://github.com/finos/FDC3/,FDC3 repo,FDC3 interoperability standard repo exists,Inter-app context sharing pattern,accepted,relevant,ui_interop_layer,high,true,
R013,finos,site:github.com finos Vuu financial UI,https://github.com/finos/vuu,vuu repo,Vuu project exists,Streaming financial grid ideas,accepted,relevant,realtime_ui_layer,medium,true,
R014,finos,site:github.com finos Common Domain Model,https://github.com/finos-labs/cdm-playground,cdm-playground repo,CDM playground exists,Domain schema normalization,accepted,relevant,domain_schema_layer,medium,true,
R015,finos,site:github.com finos AI Governance Framework,https://github.com/finos/ai-governance-framework,ai-governance-framework repo,AI governance project exists,AI control and review policy ideas,accepted,relevant,ai_governance_layer,high,true,
R016,finos,site:github.com finos Perspective data visualization,https://github.com/finos/perspective/,perspective repo,Perspective analytics visualization project exists,Large-scale table/chart rendering,accepted,relevant,evidence_dashboard_ui,high,true,
R017,banks,site:github.com goldmansachs open source finance,https://github.com/goldmansachs/gs-quant/,gs-quant repo,Goldman official quant toolkit repo exists,Institutional API patterns,accepted,relevant,provider_api_design,high,true,
R018,banks,site:github.com jpmorganchase open source finance,https://github.com/jpmorganchase,jpmorganchase org,Official JPMorgan org exists,Institutional OSS governance pattern,accepted,relevant,governance_process,high,true,
R019,banks,site:github.com Morgan Stanley FINOS GitHub,https://www.github.com/finos,FINOS org page,Morgan-related FINOS context discovered,FINOS collaboration model,accepted,indirect evidence only,governance_process,low,false,indirect institution claim from FINOS org page not source-specific
R020,banks,site:github.com Bank of America FINOS GitHub,https://www.github.com/finos,FINOS org page,No direct BoA repo validated,Negative result retention,rejected,no exact BoA project verified,coverage_limits,low,false,negative inference from generic FINOS page without direct BoA source
R021,banks,site:github.com Citi open source GitHub,https://github.com/Citi/citi-ospo,citi-ospo repo,Citi OSPO repo exists,Use OSS policy documentation patterns,accepted,relevant,governance_process,high,true,
R022,banks,site:github.com Wells Fargo open source GitHub,https://github.com/vagabond-systems/wells-fargo-task-2,community repo,Result appears community not official Wells repo,Record negative official coverage,rejected,not official institution source,coverage_limits,high,true,
R023,banks,site:github.com capitalone open source finance,https://github.com/capitalone,capitalone org,Official Capital One org exists,Enterprise data tooling references,accepted,relevant,data_quality_practices,high,true,
