search_id,exact_search_query,search_target,top_result_url,reconstruction_status,notes
S001,GitHub stock backtesting dashboard FastAPI React,web/GitHub,https://github.com/jakobildstad/quantdash,VERIFIED,Top result captured from tool output
S002,GitHub quant dashboard FastAPI React,web/GitHub,https://github.com/jakobildstad/quantdash,VERIFIED,Top result captured from tool output
S003,GitHub paper trading simulator FastAPI,web/GitHub,https://github.com/Open-Agent-Tools/open-paper-trading-mcp,VERIFIED,Top result captured from tool output
S004,GitHub AI trading research agent,web/GitHub,https://github.com/OnePunchMonk/AgentQuant,VERIFIED,Top result captured from tool output
S005,GitHub stock market analytics terminal DuckDB,web/GitHub,https://github.com/pdet/Scrooge-McDuck,VERIFIED,Top result captured from tool output
S006,GitHub backtesting engine Python event driven,web/GitHub,https://github.com/davidstyers/vegas,VERIFIED,Top result captured from tool output
S007,GitHub vectorbt dashboard,web/GitHub,https://github.com/polakowo/vectorbt/blob/master/apps/candlestick-patterns/app.py,VERIFIED,Top result captured from tool output
S008,GitHub zipline alternatives,web/GitHub,https://github.com/jerryinyang/rustybt,VERIFIED,Top result captured from tool output
S009,site:github.com finos Legend data modeling,web/GitHub,https://github.com/finos/legend-studio/,VERIFIED,Top result captured from tool output
S010,site:github.com finos Morphir business logic,web/GitHub,https://github.com/finos/morphir/,VERIFIED,Top result captured from tool output
S011,site:github.com finos Waltz enterprise architecture,web/GitHub,https://github.com/finos/waltz/,VERIFIED,Top result captured from tool output
S012,site:github.com finos FDC3 financial desktop,web/GitHub,https://github.com/finos/FDC3/,VERIFIED,Top result captured from tool output
S013,site:github.com finos Vuu financial UI,web/GitHub,https://github.com/finos/vuu,VERIFIED,Top result captured from tool output
S014,site:github.com finos Common Domain Model,web/GitHub,https://github.com/finos-labs/cdm-playground,VERIFIED,Top result captured from tool output
S015,site:github.com finos AI Governance Framework,web/GitHub,https://github.com/finos/ai-governance-framework,VERIFIED,Top result captured from tool output
S016,site:github.com finos Perspective data visualization,web/GitHub,https://github.com/finos/perspective/,VERIFIED,Top result captured from tool output
S017,site:github.com goldmansachs open source finance,web/GitHub,https://github.com/goldmansachs/gs-quant/,VERIFIED,Top result captured from tool output
S018,site:github.com jpmorganchase open source finance,web/GitHub,https://github.com/jpmorganchase,VERIFIED,Top result captured from tool output
S019,site:github.com Morgan Stanley FINOS GitHub,web/GitHub,https://www.github.com/finos,VERIFIED,Top result captured from tool output
S020,site:github.com Bank of America FINOS GitHub,web/GitHub,https://www.github.com/finos,VERIFIED,Top result captured from tool output
S021,site:github.com Citi open source GitHub,web/GitHub,https://github.com/Citi/citi-ospo,VERIFIED,Top result captured from tool output
S022,site:github.com Wells Fargo open source GitHub,web/GitHub,https://github.com/vagabond-systems/wells-fargo-task-2,VERIFIED,Top result captured from tool output
S023,site:github.com capitalone open source finance,web/GitHub,https://github.com/capitalone,VERIFIED,Top result captured from tool output
S024,site:finos.org bank contributed project GitHub,web/FINOS,https://www.finos.org/press/citi-deutsche-bank-lead-latest-round-of-contributions-to-finos-as-financial-services-continues-rapid-adoption-of-open-source,VERIFIED,Top result captured from tool output
S025,site:github.com rbc open source GitHub,web/GitHub,https://github.com/orgs/RBC/repositories,VERIFIED,Top result captured from tool output
S026,site:github.com TD Bank open source GitHub,web/GitHub,https://github.com/budney/tdbank,VERIFIED,Top result captured from tool output
S027,site:github.com BMO open source GitHub,web/GitHub,https://github.com/BYOBMO/BMOS,VERIFIED,Top result captured from tool output
S028,site:github.com Scotiabank GitHub repositories,web/GitHub,https://github.com/javaidb/personal-finance-tracker,VERIFIED,Top result captured from tool output
S029,site:github.com CIBC open source GitHub,web/GitHub,https://github.com/CIBC-Internal/boost,VERIFIED,Top result captured from tool output
S030,site:github.com National Bank of Canada GitHub,web/GitHub,https://github.com/bankofcanada,VERIFIED,Top result captured from tool output
S031,site:github.com TMX Group GitHub market data,web/GitHub,https://github.com/dray89/finance_python,VERIFIED,Top result captured from tool output
S032,site:github.com deutschebank repositories,web/GitHub,https://github.com/deutschebank,VERIFIED,Top result captured from tool output
S033,site:github.com UBS-AG open source,web/GitHub,https://github.com/UBS-IB,VERIFIED,Top result captured from tool output
S034,site:github.com hsbc open source GitHub,web/GitHub,https://github.com/hsbc,VERIFIED,Top result captured from tool output
S035,site:github.com natwest open source,web/GitHub,https://github.com/NatWest,VERIFIED,Top result captured from tool output
S036,site:github.com barclays open source GitHub,web/GitHub,https://github.com/Barclays/research_data_science,VERIFIED,Top result captured from tool output
S037,site:github.com BNP Paribas GitHub open source,web/GitHub,https://github.com/bnpparibas,VERIFIED,Top result captured from tool output
S038,site:github.com ING open source GitHub,web/GitHub,https://github.com/ing-bank,VERIFIED,Top result captured from tool output
S039,site:github.com BBVA open source GitHub,web/GitHub,https://github.com/bbva,VERIFIED,Top result captured from tool output
S040,site:github.com Nomura GitHub open source,web/GitHub,https://github.com/norio-nomura,VERIFIED,Top result captured from tool output
S041,site:github.com MUFG GitHub open source,web/GitHub,https://github.com/AlanFromJapan/FundManagerCompanion,VERIFIED,Top result captured from tool output
S042,site:github.com "Cornell Quant Fund" backtesting,web/GitHub,https://github.com/CornellQuantFund/CQF_Backtesting,VERIFIED,Top result captured from tool output
S043,site:github.com "MIT" "algorithmic trading" "GitHub",web/GitHub,https://github.com/Magica-Chen/GaussWorldTrader,VERIFIED,Top result captured from tool output
S044,site:github.com "machine learning for trading" "university",web/GitHub,https://github.com/cwu392/Machine-Learning-for-Trading,VERIFIED,Top result captured from tool output
S045,site:github.com "financial engineering" "backtesting" "course",web/GitHub,https://github.com/LechGrzelak/FinancialEngineering_IR_xVA,VERIFIED,Top result captured from tool output
S046,site:github.com "University of Toronto" "finance" "GitHub",web/GitHub,https://github.com/Aman-Rana-02,VERIFIED,Top result captured from tool output
S047,site:github.com "Waterloo" "quantitative finance",web/GitHub,https://github.com/UWQSC/algorithmic-trading,VERIFIED,Top result captured from tool output
S048,site:github.com "UBC" "finance" "machine learning",web/GitHub,https://github.com/UBC-MDS/nasdaq_scorecards,VERIFIED,Top result captured from tool output
S049,site:github.com NASA-PDS validate data product validation,web/GitHub,https://github.com/NASA-PDS/validate,VERIFIED,Top result captured from tool output
S050,site:github.com NASA software verification validation runtime verification,web/GitHub,https://github.com/NASA-SW-VnV/mesa,VERIFIED,Top result captured from tool output
S051,site:github.com LLNL workflow orchestration data analysis,web/GitHub,https://github.com/llnl/dfanalyzer,VERIFIED,Top result captured from tool output
S052,site:github.com ORNL provenance scientific workflow,web/GitHub,https://github.com/ORNL/flowcept,VERIFIED,Top result captured from tool output
S053,site:github.com Sandia verification validation test harness,web/GitHub,https://github.com/sandialabs/vvtest,VERIFIED,Top result captured from tool output
S054,site:github.com NIST data validation reproducibility,web/GitHub,https://github.com/usnistgov/SDNist/,VERIFIED,Top result captured from tool output
S055,site:github.com DVC data versioning pipeline,web/GitHub,https://github.com/iterative/dvc,VERIFIED,iterative/dvc README states DVC is Data Version Control for reproducible ML with versioned data and pipelines
