project_name,url,category,maturity,license,stack,data_layer_quality,backtest_sim_quality,ui_quality,ai_agent_quality,evidence_reporting_quality,testing_repro_quality,best_idea_to_copy,major_warning,use_in_final_architecture,supporting_receipt_id,score_basis,unsupported_claims
QuantConnect LEAN,https://github.com/QuantConnect/Lean,quant_backtesting,high,Apache-2.0,C#+Python,5,5,2,2,4,5,event-driven engine and deterministic run model,complex setup for local-only lab,yes,R090,"README and engine structure show production-grade backtest/live engine",none
Nautilus Trader,https://github.com/nautechsystems/nautilus_trader,quant_backtesting,high,UNVERIFIED,Rust+Python,4,5,2,2,4,4,deterministic architecture and crash-only philosophy,steep learning curve,yes,R086,"Architecture docs explicitly describe event-driven reliability priorities",none
vectorbt,https://github.com/polakowo/vectorbt,quant_backtesting,high,MIT,Python+NumPy,4,4,3,2,3,4,vectorized strategy sweep workflows,lower market microstructure realism,yes,R007,"Repository app examples and docs indicate vectorized backtesting and dashboards",none
microsoft/qlib,https://github.com/microsoft/qlib,quant_backtesting,high,MIT,Python,5,4,2,4,4,4,research workflow from idea to evaluation,operational complexity,yes,R085,"Qlib README and project docs describe full quant research workflow",none
OpenBB,https://github.com/OpenBB-finance/OpenBB,quant_backtesting,high,UNVERIFIED,Python+FastAPI,5,2,3,3,3,4,provider-router-core layering,license boundaries must be checked,yes,R089,"Architecture article describes layered provider and API model",inferred quality of testing depth
Open Paper Trading MCP,https://github.com/Open-Agent-Tools/open-paper-trading-mcp,quant_backtesting,medium,UNVERIFIED,Python+FastAPI,3,3,2,4,3,3,agent-compatible paper trading API,maturity risk,yes,R003,"Repo existence and stated feature set from opened source",inferred long-term maintenance
Scrooge-McDuck,https://github.com/pdet/Scrooge-McDuck,quant_backtesting,medium,UNVERIFIED,DuckDB+Python,4,2,1,1,2,3,SQL-native factor and indicator computation,niche project footprint,yes,R005,"Repo verifies DuckDB-first financial analytics functions",none
vegas,https://github.com/davidstyers/vegas,quant_backtesting,medium,UNVERIFIED,Python,3,4,1,1,2,3,event-driven simulation callbacks,smaller ecosystem,partial,R006,"Project description indicates event-driven backtesting",none
FINOS Legend Studio,https://github.com/finos/legend-studio,finos,high,Apache-2.0,TypeScript+Java,5,1,3,1,5,4,semantic model governance and shared vocabularies,heavy enterprise footprint,yes,R009,"Legend docs and repo positioning are explicit on modeling/governance",none
FINOS Morphir,https://github.com/finos/morphir,finos,medium,Apache-2.0,Rust+Python+TS,4,1,2,2,4,4,business logic as portable intermediate representation,adoption complexity,yes,R010,"Morphir README describes business logic as data and IR",none
FINOS Waltz,https://github.com/finos/waltz,finos,high,Apache-2.0,Java+Web,4,1,3,1,5,4,architecture inventory and impact mapping,not a simulation engine,yes,R011,"Waltz purpose explicitly architecture landscape mapping",none
FINOS FDC3,https://github.com/finos/FDC3,finos,high,Apache-2.0,TypeScript,2,1,4,1,3,4,desktop interoperability contracts,depends on ecosystem adoption,partial,R012,"FDC3 standard and repo define context/intents interoperability",none
FINOS Perspective,https://github.com/finos/perspective,finos,high,Apache-2.0,C+++Rust+TS,4,1,5,1,3,4,high-performance streaming table/chart component,integration complexity,yes,R016,"Perspective docs and repo describe streaming analytics rendering",none
GS Quant,https://github.com/goldmansachs/gs-quant,banks,high,Apache-2.0,Python,4,3,2,2,3,4,institutional client API conventions,platform access boundaries,partial,R017,"Repo confirms official institutional toolkit",inferred simulation quality
JPMorgan org,https://github.com/jpmorganchase,banks,high,UNVERIFIED,multi,3,2,1,1,3,3,institutional OSS governance patterns,not a single cohesive finance platform,partial,R018,"Official org verification only",feature-level claims not validated
Capital One org,https://github.com/capitalone,banks,high,UNVERIFIED,multi,4,1,1,1,3,3,data-quality tooling references,not trading-research focused,partial,R023,"Official org and related data tooling references validated",feature depth inferred
Barclays research_data_science,https://github.com/Barclays/research_data_science,banks,medium,Apache-2.0,Python,4,1,1,1,2,3,data access abstraction for alt data,limited scope,partial,R036,"Repo existence and domain intent validated",testing depth unsupported
RBC org,https://github.com/RBC,banks,medium,UNVERIFIED,multi,2,1,1,1,2,2,verification that Canadian bank OSS presence exists,relevance to stock-research app is indirect,partial,R025,"Official org and public repos verified",specific project capabilities unsupported
NASA-PDS validate,https://github.com/NASA-PDS/validate,nasa_labs,high,Apache-2.0,Java,5,1,1,1,5,5,strict machine-readable validation gate,domain adaptation needed,yes,R049,"Repository and changelog document validation behavior",none
ORNL flowcept,https://github.com/ORNL/flowcept,nasa_labs,medium,MIT,Python,4,1,2,2,5,4,runtime provenance event capture,younger ecosystem,yes,R052,"Repo and docs confirm provenance capture and query workflows",none
LLNL Merlin,https://github.com/LLNL/merlin,nasa_labs,medium,UNVERIFIED,Python,4,2,1,1,4,4,YAML DAG orchestration at scale,HPC bias in defaults,yes,R106,"README describes DAG orchestration and scalable workflows",none
Sandia vvtest,https://github.com/sandialabs/vvtest,nasa_labs,medium,UNVERIFIED,Python,2,1,1,1,4,5,regression harness design and output modes,CLI-centric UX,yes,R053,"Repo describes verification/regression harness capabilities",none
NASA cFS,https://github.com/nasa/cFS,nasa_labs,high,Apache-2.0,C,3,3,1,1,4,5,modular fault-conscious architecture,overkill for app-level concerns,partial,R103,"README confirms modular framework and mission-level validation posture",none
DGFraud,https://github.com/safe-graph/DGFraud,osint_fraud,medium,UNVERIFIED,Python,3,2,1,3,3,3,graph-based anomaly/risk detection,domain transfer from fraud to microcap signals,yes,R110,"Repo is explicit on graph fraud detection methods",none
AnoScout,https://github.com/julian-rakuschek/AnoScout,osint_fraud,medium,UNVERIFIED,Python+TS,3,2,4,2,3,3,interactive anomaly triage workflows,not finance-specific,yes,R111,"Project purpose is anomaly exploration dashboard",none
Timesketch,https://github.com/google/timesketch,osint_fraud,high,Apache-2.0,Python+JS,3,1,3,1,5,4,timeline-first evidence review and annotation,heavy deployment footprint,yes,R116,"Repo explicitly targets collaborative forensic timeline analysis",none
